track_id,title,artist,duration_seconds,bpm,primary_genre,genre_1,genre_1_p,genre_2,genre_2_p,genre_3,genre_3_p,playlist,holdout
09aa299d-50ea-4d4c-8c74-b0970f0cc40b,Gimme That Bounce,Mau P,217.000,126.04,Bassline,Bassline,0.4594,House,0.2779,Electro,0.1131,Disco House,1
0c22b43e-7804-486e-b738-14aeb4825d89,I Just Want U,Zero,208.000,139.99,Bassline,Bassline,0.5677,UK Garage,0.2628,Speed Garage,0.1984,UKG,0
10982742-4f47-441f-8d58-3ffcc79f5d9c,YOUR LOVE,bullet tooth,194.000,139.97,Bassline,Bassline,0.4480,Breaks,0.2363,Dubstep,0.1902,UKG,0
1d857e9b-c9a8-4b57-ba94-0465fd3cbe43,PopUp Dubplate,BSEARL,195.000,140.01,Bassline,Bassline,0.5903,UK Garage,0.2711,Electro,0.0637,UKG,0
2aa8360a-90be-44f9-941c-f5ddc654de5b,Rumble House Mix (128-140-128).wav,,238.000,127.99,Bassline,Bassline,0.3041,House,0.1702,Techno,0.1449,,1
40f8db6c-de68-4bad-b448-18aeb517c82d,Lyrically Ill,Zero,223.000,140.06,Bassline,Bassline,0.5871,UK Garage,0.1559,Dubstep,0.0810,UKG,0
4cf41e91-9886-40c0-98e3-0ca23e313b2a,Bluest Flame,"Selena Gomez, benny blanco",163.000,135.67,Bassline,Bassline,0.2221,House,0.1538,Electronic / Grime,0.0986,,0
6c63b925-46b4-42d5-bdfe-cdd6275a1c24,Kick Back,BVNQUET,180.000,141.00,Bassline,Bassline,0.6601,UK Garage,0.3586,Dubstep,0.1507,UKG,1
6eb825be-db6f-4e3d-8c5a-9577958fe44f,Guest List,Pyrate,227.000,140.01,Bassline,Bassline,0.2168,UK Garage,0.1267,Tech Trance,0.1085,UKG,0
7538dd86-b61a-4e48-8b59-292bce382b49,Polar Dance,Winter Games/Somepoe,172.000,136.96,Bassline,Bassline,0.2748,UK Garage,0.2690,Dubstep,0.1887,UKG,0
8dda5cbe-14aa-403c-9ba6-1d017834b3b7,Runaway (U & I),"Ian Asher, Galantis",147.000,138.00,Bassline,Bassline,0.1592,Trance,0.0919,Techno,0.0638,,0
9f695e1c-b78b-4e1b-b607-ed38ce06b771,Off My High,SKILAH,184.000,132.00,Bassline,Bassline,0.2012,House,0.1930,Electro House,0.0975,,0
a0453de4-87cd-4196-ab11-b20f12cc1f18,Side2Side,Skeptic,206.000,135.01,Bassline,Bassline,0.5383,UK Garage,0.2808,Speed Garage,0.1343,UKG,0
ab73dade-a148-422b-99fc-b0ed2409660f,Travis Scott - My Eyes (Crunkz Remix),Crunkz,268.000,131.02,Bassline,Bassline,0.2823,Electro House,0.2449,Tech Trance,0.1944,,1
afd4dd15-cdaa-47c9-8d40-189f3ceffab8,Bass Dhol,Ahadadream,218.000,130.01,Bassline,Bassline,0.5639,Electro House,0.3542,Electro,0.1481,,1
b2ee4982-64f7-471b-9019-b8d5b4362db8,It Might Be Reality - Original Mix,Suspect One,377.000,127.00,Bassline,Bassline,0.6726,Techno,0.1616,Electro House,0.1449,,0
b81d92a2-3b5a-4692-aa84-5151fa18dc43,Feelin' Alright,Lemtom,133.000,132.03,Bassline,Bassline,0.4746,UK Garage,0.3355,Speed Garage,0.3294,UKG,0
d24b41d2-ca10-4c13-a41f-80e19484fce2,System,Odd Mob,201.000,130.00,Bassline,Bassline,0.6218,Electro House,0.2727,House,0.2158,,0
ddb08844-be22-45c6-a152-fcc43a03eeda,Tell Me Wagwan,Loboski,191.000,131.96,Bassline,Bassline,0.3791,UK Garage,0.1440,Hip Hop / Grime,0.1054,UKG,0
e4b00817-609a-455f-b592-357ba6bf4116,Baby Baby,Noizu,190.000,124.99,Bassline,Bassline,0.6093,House,0.4757,Electro House,0.2577,Disco House,0
ec68c579-fb75-4828-b565-a045e85b761b,Reload,DJ Jackum,169.000,136.00,Bassline,Bassline,0.4174,Dubstep,0.3667,UK Garage,0.1143,UKG,0
f38fc771-eb44-4bfd-98cb-48b8f463f79a,in2minds,"Chris Lake, Disclosure",208.000,136.04,Bassline,Bassline,0.3323,UK Garage,0.1036,Dubstep,0.0952,UKG,0
f6e3cd40-1826-475e-986b-43ef05eced24,BADDADAN (KNOCK2 RMX),knockthisoff,124.056,130.01,Bassline,Bassline,0.6306,Electro House,0.5007,Electro,0.1818,,0
045e2dc1-96c3-4ee4-bd8f-30be84a5dce9,The One I Need,Pola & Bryson,212.000,86.98,Drum n Bass,Drum n Bass,0.4178,Halftime,0.3174,Electro House,0.0703,Drum and Bass,0
2407c7a8-4bc8-4fb5-a907-328e9e84b2b1,places to be,"Fred again.., Anderson .Paak, CHIKA",227.000,174.06,Drum n Bass,Drum n Bass,0.4569,Halftime,0.2767,Dubstep,0.1657,Drum and Bass,0
254194e7-a962-4a31-ad15-4a25fc04cbef,Collapse DNP,,170.000,171.73,Drum n Bass,Drum n Bass,0.5201,Halftime,0.5099,Trance,0.0458,,1
319cdfe5-4d66-4507-a3ef-d16b33032b0e,Still,Emperor,251.000,172.05,Drum n Bass,Drum n Bass,0.7694,Halftime,0.7299,Dubstep,0.1791,Drum and Bass,1
374ec63a-bfe2-4129-86e8-40d8fc93c10a,Black Out Days - Subtronics Remix,"Phantogram, Subtronics",209.000,175.02,Drum n Bass,Drum n Bass,0.3883,Halftime,0.2162,Dubstep,0.1240,Drum and Bass,1
3a3c3330-7518-4bba-800d-4233771cdbd2,Distance,BSEARL/EJ Kitto,218.000,178.00,Drum n Bass,Drum n Bass,0.4495,Halftime,0.3020,Dubstep,0.0922,Drum and Bass,0
4808c0db-20a1-430b-a8b6-b2c0fb56c1f8,Better Than Gold,"Justin Hawkes, Andrew Hellier",320.000,173.95,Drum n Bass,Drum n Bass,0.5056,Halftime,0.2368,Dubstep,0.1752,Drum and Bass,0
60f880bb-d2e9-460e-a03f-2b7828a79481,Angel,Dimension/Sub Focus/NGHTMRE/Mougleta,182.000,86.97,Drum n Bass,Drum n Bass,0.3202,Dubstep,0.1456,Happy Hardcore,0.1317,Drum and Bass,1
62decd07-e444-4c5d-8bb4-49d94280fdf7,"103023, 8.15 PM-Open-Hi-1",LANDR-Untitled 9,170.000,171.72,Drum n Bass,Drum n Bass,0.2860,Halftime,0.2719,Trance,0.0856,,1
64e4da3f-728a-4394-9658-65cc00f323c4,Disconnect,"Becky Hill, Chase & Status",165.000,175.00,Drum n Bass,Drum n Bass,0.3263,Breakcore,0.1222,Electronic / Hardcore,0.1154,Drum and Bass,0
718361c4-571b-4a76-ac23-7764ced0ba82,Buss Back (feat. Hachi Day),"Arcando, Hachi Day",200.000,175.01,Drum n Bass,Drum n Bass,0.3530,Halftime,0.2574,Electronic / Hardcore,0.0779,Drum and Bass,0
746d8b01-6962-4251-af4d-60acd52c08c4,BACKBONE,"Chase & Status, Stormzy",167.000,88.00,Drum n Bass,Drum n Bass,0.2447,Halftime,0.1632,Crunk,0.0873,Drum and Bass,0
